 INFO | 2015-12-12 12:20:13,519 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:20:13,523 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:20:13,523 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:20:13,523 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:20:13,525 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:20:13,633 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:20:13,633 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:20:13,636 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:20:13,636 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:20:51,368 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:20:51,372 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:20:51,372 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:20:51,372 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:20:51,373 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:20:51,485 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:20:51,486 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:20:51,489 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:20:51,490 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:07,476 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:07,481 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:07,481 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:07,481 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:07,482 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:07,636 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,636 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:07,640 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,640 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:07,666 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:07,666 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:07,666 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:07,666 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:07,667 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:07,669 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,669 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:07,672 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,673 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:07,698 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:07,698 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:07,698 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:07,699 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:07,699 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:07,701 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,702 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:07,704 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,704 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 WARN | 2015-12-12 12:21:07,710 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:07,710 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:07,710 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:07,710 | MockRobotIO.java                              | 42 | PWM value was NaN
 INFO | 2015-12-12 12:21:07,726 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:07,727 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:07,727 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:07,727 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:07,727 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:07,730 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,733 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:07,735 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:07,735 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:19,421 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,425 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,425 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,425 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,426 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:19,540 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,540 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:19,543 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,543 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:19,565 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,565 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,565 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,565 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,566 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:19,568 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,568 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:19,571 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,571 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:19,592 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,592 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,592 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,592 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,592 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:19,594 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,595 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:19,597 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,597 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 WARN | 2015-12-12 12:21:19,602 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,602 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,602 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,603 | MockRobotIO.java                              | 42 | PWM value was NaN
 INFO | 2015-12-12 12:21:19,616 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,616 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,616 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,616 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,617 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:19,619 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,623 | RotationalSubsystem.java                      | 37 | Creating RotationalSubsystem
 INFO | 2015-12-12 12:21:19,624 | PoseSubsystem.java                            | 137 | Calibrating yaw offset to: 90.0
 INFO | 2015-12-12 12:21:19,624 | TranslationalSubsystem.java                   | 46 | Creating TranslationalSubsystem
 INFO | 2015-12-12 12:21:19,652 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,653 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,653 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,653 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,654 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 INFO | 2015-12-12 12:21:19,669 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,669 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,670 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
 INFO | 2015-12-12 12:21:19,670 | MockSpeedController.java                      | 16 | Creating speed controller on channel:2
 INFO | 2015-12-12 12:21:19,670 | MockSpeedController.java                      | 16 | Creating speed controller on channel:3
 WARN | 2015-12-12 12:21:19,672 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,672 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,672 | MockRobotIO.java                              | 42 | PWM value was NaN
 WARN | 2015-12-12 12:21:19,672 | MockRobotIO.java                              | 42 | PWM value was NaN
 INFO | 2015-12-12 12:21:19,685 | DriveSubsystem.java                           | 38 | Creating DriveSubsystem
 INFO | 2015-12-12 12:21:19,685 | MockSpeedController.java                      | 16 | Creating speed controller on channel:0
 INFO | 2015-12-12 12:21:19,686 | MockSpeedController.java                      | 16 | Creating speed controller on channel:1
